driver_id,name,phone,license_no,rating
82,Anne Chase,216.075.6797,LIC-0082,3.57
83,Barbara Scott,313.285.7294x25629,LIC-0083,3.71
84,Michelle Armstrong,(404)199-8080x0786,LIC-0084,2.75
85,Christopher Ramirez,(255)832-7232x8238,LIC-0085,4.35
86,Omar Boyer,(070)232-1922x03505,LIC-0086,2.59
87,Crystal Williams,001-149-928-0711x32978,LIC-0087,4.44
88,Logan Krueger,(305)774-1188,LIC-0088,3.67
89,Luis Beck,733.893.3202,LIC-0089,4.53
90,Jacob Williams,7702906257,LIC-0090,3.54
91,Melissa Pennington,(740)945-2704x8172,LIC-0091,4.2
92,Robert Hoover,025.596.1413,LIC-0092,3.68
93,Samantha Park,142-600-0246,LIC-0093,4.07
94,Patrick Ross,061-858-3397,LIC-0094,2.82
95,Troy Trujillo,375-384-7307x8370,LIC-0095,4.72
96,Micheal Kennedy,308.331.1620,LIC-0096,4.7
97,Lynn Williams,(175)156-2727x98555,LIC-0097,4.38
98,William Hernandez,231.588.1589x8212,LIC-0098,4.19
99,Dr. Nicholas Mitchell,999.875.8563x91741,LIC-0099,3.42
100,Christopher Martin,(390)913-8070x8377,LIC-0100,4.36
101,Elizabeth Brock,1704220735,LIC-0101,4.89
102,Christopher Walker,+1-816-925-9942x9876,LIC-0102,3.78
103,Christopher Morrison,(306)730-2927,LIC-0103,3.88
104,Joseph Fry,198.112.8332,LIC-0104,2.97
105,James Gregory,229-681-4210,LIC-0105,3.51
106,Brian Rodriguez,001-953-891-9424x04822,LIC-0106,4.42
107,Ryan Horton,+1-478-933-2031x36703,LIC-0107,4.39
108,Jeffrey Santana,261-075-8318x9035,LIC-0108,2.72
109,Chase Harrell,307.939.7876x58091,LIC-0109,3.35
110,Ryan Cabrera,341-910-4556,LIC-0110,2.97
111,Christopher Brown,137-306-7175x6723,LIC-0111,2.78
112,Lisa Bass,001-807-565-5732,LIC-0112,4.72
113,Nathan Parks,984.804.8466,LIC-0113,4.61
114,Anthony Mitchell,292-804-1334x422,LIC-0114,2.69
115,Jessica Morgan,859-178-5117,LIC-0115,3.43
116,Gina Leblanc,001-879-010-6125x72401,LIC-0116,2.86
117,Alex Gonzalez,001-470-336-9009,LIC-0117,3.99
118,Todd Reid,111-084-4728,LIC-0118,3.2
119,Corey Mendez,+1-683-427-1656x640,LIC-0119,3.76
120,Karen Sandoval,001-624-271-4931x282,LIC-0120,4.64
121,Jonathan Salazar,(183)483-8133x72196,LIC-0121,4.46
122,Tonya Vargas,(956)220-5600x04776,LIC-0122,3.03
123,Dana Nichols,523-252-7819x7566,LIC-0123,5.0
124,Kristine Mccarthy,001-874-511-9615,LIC-0124,3.74
125,Jeffrey Lynch,+1-802-726-4245x25633,LIC-0125,3.64
126,Luis Brown,442-292-2361x0339,LIC-0126,3.67
127,Shannon Page,1258790636,LIC-0127,3.3
128,Melissa Tran,915-744-5944,LIC-0128,4.38
129,Mr. Casey Davis DDS,001-813-405-8214x965,LIC-0129,3.83
130,Benjamin Ray,+1-736-072-4389x506,LIC-0130,3.19
131,Jasmine Edwards,(822)118-8683x92797,LIC-0131,4.36
132,Brian Humphrey,(376)694-7541x622,LIC-0132,3.51
133,Kimberly Oliver,(323)694-6121,LIC-0133,4.06
134,Andrea Aguirre,+1-374-835-4208x049,LIC-0134,2.9
135,Samantha Perkins,+1-175-332-0795x2994,LIC-0135,3.0
136,Taylor Mcdaniel,001-181-716-7195x0459,LIC-0136,3.0
137,Angela Oneill,001-520-996-3358x452,LIC-0137,3.15
138,Lisa Smith,6852427718,LIC-0138,3.01
139,Cody Marquez,+1-058-608-3632,LIC-0139,4.28
140,Tracy Bailey,+1-968-253-3146x1835,LIC-0140,3.42
141,Sarah Martinez,001-921-515-0622x0705,LIC-0141,3.39
142,Lawrence Jimenez,931.143.1116,LIC-0142,4.66
143,Richard Sanders,+1-241-393-1956x36181,LIC-0143,3.3
144,Robert Martin,+1-504-414-5415x34384,LIC-0144,4.38
145,Amber Kelly,(973)491-9379x84606,LIC-0145,4.63
146,Richard Gallagher,657-115-2847,LIC-0146,4.29
147,Jay Mclean,075.966.3670x374,LIC-0147,3.02
148,Jennifer Harrell,121.281.9276x003,LIC-0148,4.93
149,Brandy Harris,079-339-3491,LIC-0149,3.46
150,Matthew Hayes,171.280.3046,LIC-0150,3.95
151,Nichole Kelly,(144)605-3893x11031,LIC-0151,4.6
152,Christopher Crawford,354-555-1900,LIC-0152,3.89
153,William Hernandez,+1-472-068-9834x730,LIC-0153,3.77
154,Tyler Vincent,5824957468,LIC-0154,4.63
155,Victoria Washington,435.709.2005,LIC-0155,2.95
156,Francis Campbell,187-751-0433,LIC-0156,4.82
157,James Brown,+1-676-752-7156x14609,LIC-0157,3.34
158,Daniel Cobb,460.571.8419,LIC-0158,2.78
159,Tiffany Padilla,+1-194-799-4886x859,LIC-0159,3.27
160,Noah Gordon,546.781.8618,LIC-0160,2.95
161,Christopher Reed,4773048480,LIC-0161,3.38
162,Darren Phillips,(880)053-1158x3255,LIC-0162,4.96
163,Aaron Conway,(473)008-2767x48540,LIC-0163,4.82
164,Wendy Williams,(098)866-2952x680,LIC-0164,3.54
165,Matthew Blackburn,803-804-3151x253,LIC-0165,3.88
166,Dennis Diaz,559-889-8913x4742,LIC-0166,4.1
167,Christopher Jimenez,+1-676-581-0897x474,LIC-0167,4.78
168,Jason Watson,+1-282-651-9893x7189,LIC-0168,2.67
169,Marvin Bell,376.002.0839,LIC-0169,4.93
170,Jeffrey Barrett,(519)940-7800x31182,LIC-0170,3.02
171,Kathleen Wells,1057013384,LIC-0171,4.02
172,Patricia Marks,740-885-8973x088,LIC-0172,4.99
173,John Li,+1-573-732-5320x191,LIC-0173,3.04
174,Jack Wilcox,706.906.7111x8359,LIC-0174,2.63
175,Gina Jackson,(259)957-0733,LIC-0175,3.07
176,Matthew Watts,364.940.9938,LIC-0176,4.67
177,Mitchell Weber,001-093-383-1182x5612,LIC-0177,3.58
178,Ashley Young,001-919-037-3036,LIC-0178,4.39
179,Heather Harris,001-373-311-1935x425,LIC-0179,4.25
180,Christina Rivera,+1-977-166-3224x733,LIC-0180,2.74
181,Brad Todd,(039)016-9327x28200,LIC-0181,3.12
182,Lisa Watson,+1-915-964-4995x971,LIC-0182,4.33
183,Victoria Bowers,(911)063-2821x77058,LIC-0183,4.15
184,Michelle Mercado,806-458-3101,LIC-0184,3.46
185,Laura Caldwell,(845)663-9286,LIC-0185,2.8
186,Jason Carr,(691)915-6790x022,LIC-0186,4.26
187,Nicholas Carter,964.552.3681,LIC-0187,2.51
188,Charles Rangel,2234712855,LIC-0188,3.17
189,Richard Campbell,6885602295,LIC-0189,2.58
190,Michael Miller,0201460570,LIC-0190,3.46
191,Michael Hanson,327.020.1611x627,LIC-0191,4.29
192,James Coleman,921.231.2464,LIC-0192,3.99
193,David Rose,001-924-701-5487x9859,LIC-0193,2.91
194,Laura Foster,214.529.7775x384,LIC-0194,3.21
195,Richard Walker,(136)757-3282,LIC-0195,3.12
196,Jacqueline Koch,+1-590-495-6728x584,LIC-0196,3.3
197,Joshua Jones,001-934-516-2956,LIC-0197,2.58
198,Barbara Kennedy,045.528.2213x0152,LIC-0198,2.72
199,Linda Mcbride,+1-203-816-3662x4115,LIC-0199,2.92
200,Tracie Stephens,001-890-020-3630,LIC-0200,3.82
